File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
c_w.l,14.915057%,8999,96,8448,551,0,96
ff.o,12.776995%,7709,6,7690,13,6,0
sdio_sdcard.o,11.883650%,7170,68,7134,0,36,32
sd_app.o,7.143449%,4310,1436,4274,36,0,1436
oled.o,6.589873%,3976,22,1242,2712,22,0
ebtn.o,3.430845%,2070,60,2070,0,0,60
btod.o,3.208751%,1936,0,1936,0,0,0
gd25qxx.o,2.920361%,1762,0,1762,0,0,0
adc_app.o,2.487777%,1501,2661,1480,0,21,2640
mcu_cmic_gd32f470vet6.o,2.386674%,1440,288,1432,0,8,280
gd32f4xx_dma.o,2.207674%,1332,0,1332,0,0,0
usart_app.o,2.031988%,1226,384,1044,54,128,256
_printf_fp_dec.o,1.746913%,1054,0,1054,0,0,0
perf_counter.o,1.405486%,848,64,780,4,64,0
_printf_fp_hex.o,1.329245%,802,0,764,38,0,0
fatfs_unicode.o,1.183393%,714,0,498,216,0,0
system_gd32f4xx.o,1.156874%,698,4,694,0,4,0
gd32f4xx_adc.o,1.083948%,654,0,654,0,0,0
gd32f4xx_usart.o,1.067374%,644,0,644,0,0,0
gd32f4xx_sdio.o,1.040855%,628,0,628,0,0,0
gd32f4xx_timer.o,0.974559%,588,0,588,0,0,0
btn_app.o,0.967929%,584,196,374,14,196,0
gd32f4xx_i2c.o,0.822077%,496,0,496,0,0,0
startup_gd32f450_470.o,0.815447%,492,2048,64,428,0,2048
diskio.o,0.682854%,412,0,412,0,0,0
__printf_flags_ss_wp.o,0.677882%,409,0,392,17,0,0
gd32f4xx_rcu.o,0.662965%,400,0,400,0,0,0
bigflt0.o,0.623187%,376,0,228,148,0,0
lc_ctype_c.o,0.523742%,316,0,44,272,0,0
oled_app.o,0.464076%,280,0,280,0,0,0
gd32f4xx_gpio.o,0.434242%,262,0,262,0,0,0
fz_wm.l,0.424298%,256,0,256,0,0,0
led_app.o,0.416011%,251,7,244,0,7,0
lludivv7m.o,0.394464%,238,0,238,0,0,0
gd32f4xx_misc.o,0.358001%,216,0,216,0,0,0
gd32f4xx_dac.o,0.328168%,198,0,198,0,0,0
_printf_wctomb.o,0.324853%,196,0,188,8,0,0
_printf_hex_int_ll_ptr.o,0.311594%,188,0,148,40,0,0
_printf_intcommon.o,0.295019%,178,0,178,0,0,0
systick.o,0.278445%,168,4,164,0,4,0
gd32f4xx_it.o,0.278445%,168,0,168,0,0,0
scheduler.o,0.271816%,164,64,100,0,64,0
perfc_port_default.o,0.255242%,154,0,154,0,0,0
strncmp.o,0.248612%,150,0,150,0,0,0
fnaninf.o,0.232038%,140,0,140,0,0,0
rt_memcpy_v6.o,0.228723%,138,0,138,0,0,0
lludiv10.o,0.228723%,138,0,138,0,0,0
init_alloc.o,0.228723%,138,0,138,0,0,0
strcmpv7m.o,0.212149%,128,0,128,0,0,0
_printf_fp_infnan.o,0.212149%,128,0,128,0,0,0
_printf_longlong_dec.o,0.205519%,124,0,124,0,0,0
_printf_dec.o,0.198890%,120,0,120,0,0,0
_printf_oct_int_ll.o,0.185630%,112,0,112,0,0,0
gd32f4xx_spi.o,0.172371%,104,0,104,0,0,0
rt_memcpy_w.o,0.165741%,100,0,100,0,0,0
h1_alloc.o,0.155797%,94,0,94,0,0,0
__dczerorl2.o,0.149167%,90,0,90,0,0,0
memcmp.o,0.145852%,88,0,88,0,0,0
f2d.o,0.142538%,86,0,86,0,0,0
main.o,0.142538%,86,0,86,0,0,0
_printf_str.o,0.135908%,82,0,82,0,0,0
defsig_rtmem_inner.o,0.132593%,80,0,80,0,0,0
rt_memclr_w.o,0.129278%,78,0,78,0,0,0
h1_free.o,0.129278%,78,0,78,0,0,0
_printf_pad.o,0.129278%,78,0,78,0,0,0
sys_stackheap_outer.o,0.122649%,74,0,74,0,0,0
llsdiv.o,0.119334%,72,0,72,0,0,0
lc_numeric_c.o,0.119334%,72,0,44,28,0,0
rt_memclr.o,0.112704%,68,0,68,0,0,0
_wcrtomb.o,0.106074%,64,0,64,0,0,0
strlen.o,0.102760%,62,0,62,0,0,0
vsnprintf.o,0.086185%,52,0,52,0,0,0
h1_extend.o,0.086185%,52,0,52,0,0,0
__scatter.o,0.086185%,52,0,52,0,0,0
defsig_general.o,0.082871%,50,0,50,0,0,0
m_wm.l,0.079556%,48,0,48,0,0,0
fpclassify.o,0.079556%,48,0,48,0,0,0
_printf_char_common.o,0.079556%,48,0,48,0,0,0
libinit2.o,0.076241%,46,0,46,0,0,0
_printf_wchar.o,0.072926%,44,0,44,0,0,0
_printf_char.o,0.072926%,44,0,44,0,0,0
__2sprintf.o,0.072926%,44,0,44,0,0,0
_printf_charcount.o,0.066297%,40,0,40,0,0,0
init_aeabi.o,0.059667%,36,0,36,0,0,0
_printf_truncate.o,0.059667%,36,0,36,0,0,0
systick_wrapper_ual.o,0.053037%,32,0,32,0,0,0
__scatter_zi.o,0.046408%,28,0,28,0,0,0
exit.o,0.029833%,18,0,18,0,0,0
rt_ctype_table.o,0.026519%,16,0,16,0,0,0
aeabi_memset.o,0.026519%,16,0,16,0,0,0
_snputc.o,0.026519%,16,0,16,0,0,0
sys_wrch.o,0.023204%,14,0,14,0,0,0
h1_init.o,0.023204%,14,0,14,0,0,0
defsig_rtmem_outer.o,0.023204%,14,0,14,0,0,0
__printf_wp.o,0.023204%,14,0,14,0,0,0
dretinf.o,0.019889%,12,0,12,0,0,0
sys_exit.o,0.019889%,12,0,12,0,0,0
__rtentry2.o,0.019889%,12,0,12,0,0,0
fpinit.o,0.016574%,10,0,10,0,0,0
rtexit2.o,0.016574%,10,0,10,0,0,0
defsig_exit.o,0.016574%,10,0,10,0,0,0
_sputc.o,0.016574%,10,0,10,0,0,0
_printf_ll.o,0.016574%,10,0,10,0,0,0
_printf_l.o,0.016574%,10,0,10,0,0,0
rt_locale_intlibspace.o,0.013259%,8,0,8,0,0,0
libspace.o,0.013259%,8,96,8,0,0,96
__main.o,0.013259%,8,0,8,0,0,0
heapauxi.o,0.009944%,6,0,6,0,0,0
_printf_x.o,0.009944%,6,0,6,0,0,0
_printf_u.o,0.009944%,6,0,6,0,0,0
_printf_s.o,0.009944%,6,0,6,0,0,0
_printf_p.o,0.009944%,6,0,6,0,0,0
_printf_o.o,0.009944%,6,0,6,0,0,0
_printf_n.o,0.009944%,6,0,6,0,0,0
_printf_ls.o,0.009944%,6,0,6,0,0,0
_printf_llx.o,0.009944%,6,0,6,0,0,0
_printf_llu.o,0.009944%,6,0,6,0,0,0
_printf_llo.o,0.009944%,6,0,6,0,0,0
_printf_lli.o,0.009944%,6,0,6,0,0,0
_printf_lld.o,0.009944%,6,0,6,0,0,0
_printf_lc.o,0.009944%,6,0,6,0,0,0
_printf_i.o,0.009944%,6,0,6,0,0,0
_printf_g.o,0.009944%,6,0,6,0,0,0
_printf_f.o,0.009944%,6,0,6,0,0,0
_printf_e.o,0.009944%,6,0,6,0,0,0
_printf_d.o,0.009944%,6,0,6,0,0,0
_printf_c.o,0.009944%,6,0,6,0,0,0
_printf_a.o,0.009944%,6,0,6,0,0,0
__rtentry4.o,0.009944%,6,0,6,0,0,0
printf2.o,0.006630%,4,0,4,0,0,0
printf1.o,0.006630%,4,0,4,0,0,0
hguard.o,0.006630%,4,0,4,0,0,0
_printf_percent_end.o,0.006630%,4,0,4,0,0,0
use_no_semi.o,0.003315%,2,0,2,0,0,0
rtexit.o,0.003315%,2,0,2,0,0,0
libshutdown2.o,0.003315%,2,0,2,0,0,0
libshutdown.o,0.003315%,2,0,2,0,0,0
libinit.o,0.003315%,2,0,2,0,0,0
